origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
55,001,01,105,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Alabama,Perry County,10756.0,859.0,9293.0,688.0,1463.0,522.0,441.0,216.0,743.0,369.0,279.0,267.0,,,28.0,46.0,Adams,Perry,55_001,01_105,inflow_05_09_Wisconsin.csv,2005,2009
55,001,06,037,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,California,Los Angeles County,9724599.0,9720.0,8385192.0,16130.0,1338968.0,17409.0,966637.0,14727.0,210484.0,5947.0,161847.0,4541.0,439.0,272.0,10.0,16.0,Adams,Los Angeles,55_001,06_037,inflow_05_09_Wisconsin.csv,2005,2009
55,001,08,045,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Colorado,Garfield County,52009.0,1054.0,42277.0,926.0,9732.0,1068.0,5006.0,784.0,2554.0,729.0,2172.0,457.0,,,30.0,41.0,Adams,Garfield,55_001,08_045,inflow_05_09_Wisconsin.csv,2005,2009
55,001,08,059,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Colorado,Jefferson County,521036.0,3354.0,434256.0,3098.0,86780.0,3668.0,41966.0,2138.0,31393.0,1907.0,13421.0,1149.0,,,13.0,22.0,Adams,Jefferson,55_001,08_059,inflow_05_09_Wisconsin.csv,2005,2009
55,001,08,117,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Colorado,Summit County,26416.0,813.0,21657.0,802.0,4759.0,785.0,1732.0,559.0,1483.0,413.0,1544.0,353.0,,,2.0,3.0,Adams,Summit,55_001,08_117,inflow_05_09_Wisconsin.csv,2005,2009
55,001,09,001,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Connecticut,Fairfield County,885337.0,3226.0,780202.0,3859.0,104678.0,3897.0,62344.0,3165.0,13224.0,1166.0,29110.0,1840.0,457.0,235.0,12.0,19.0,Adams,Fairfield,55_001,09_001,inflow_05_09_Wisconsin.csv,2005,2009
55,001,12,085,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Florida,Martin County,136279.0,1502.0,117352.0,1581.0,18927.0,1691.0,8997.0,1132.0,6525.0,958.0,3405.0,536.0,,,11.0,16.0,Adams,Martin,55_001,12_085,inflow_05_09_Wisconsin.csv,2005,2009
55,001,12,107,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Florida,Putnam County,72397.0,1457.0,62870.0,1246.0,9527.0,1506.0,5027.0,1041.0,2948.0,829.0,1552.0,550.0,,,3.0,5.0,Adams,Putnam,55_001,12_107,inflow_05_09_Wisconsin.csv,2005,2009
55,001,12,115,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Florida,Sarasota County,359315.0,2857.0,306554.0,2423.0,52725.0,2717.0,30746.0,1967.0,11797.0,1358.0,10182.0,1034.0,36.0,42.0,2.0,2.0,Adams,Sarasota,55_001,12_115,inflow_05_09_Wisconsin.csv,2005,2009
55,001,13,089,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Georgia,DeKalb County,703868.0,5345.0,563434.0,5275.0,140434.0,5103.0,76911.0,3872.0,43585.0,2954.0,19938.0,1570.0,,,9.0,12.0,Adams,DeKalb,55_001,13_089,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,031,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Cook County,5236008.0,8026.0,4424233.0,10635.0,810967.0,11783.0,575364.0,10651.0,101344.0,4126.0,134259.0,4548.0,808.0,265.0,102.0,48.0,Adams,Cook,55_001,17_031,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,043,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,DuPage County,914022.0,3784.0,800776.0,3862.0,113246.0,4283.0,57203.0,3225.0,35837.0,2070.0,20206.0,1528.0,,,18.0,15.0,Adams,DuPage,55_001,17_043,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,051,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Fayette County,21094.0,324.0,18541.0,442.0,2553.0,465.0,1518.0,402.0,906.0,265.0,129.0,75.0,,,1.0,2.0,Adams,Fayette,55_001,17_051,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,089,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Kane County,480316.0,3240.0,420354.0,3508.0,59954.0,3355.0,33803.0,2718.0,16977.0,1516.0,9174.0,1082.0,8.0,13.0,26.0,19.0,Adams,Kane,55_001,17_089,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,097,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Lake County,694511.0,3095.0,604147.0,3235.0,90364.0,3733.0,48114.0,2401.0,16643.0,1284.0,25607.0,1949.0,,,7.0,7.0,Adams,Lake,55_001,17_097,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,099,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,LaSalle County,110932.0,955.0,97829.0,941.0,13103.0,1025.0,8669.0,861.0,3424.0,448.0,1010.0,316.0,,,19.0,23.0,Adams,LaSalle,55_001,17_099,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,111,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,McHenry County,310198.0,1739.0,277318.0,2422.0,32880.0,2202.0,17304.0,1695.0,8595.0,779.0,6981.0,1107.0,,,1.0,2.0,Adams,McHenry,55_001,17_111,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,141,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Ogle County,54354.0,819.0,47747.0,868.0,6607.0,837.0,3568.0,641.0,2223.0,414.0,816.0,289.0,,,3.0,5.0,Adams,Ogle,55_001,17_141,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,143,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Peoria County,181338.0,1662.0,151296.0,1817.0,30032.0,1889.0,19074.0,1398.0,7370.0,882.0,3588.0,577.0,10.0,16.0,28.0,46.0,Adams,Peoria,55_001,17_143,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,163,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,St. Clair County,258505.0,2060.0,217161.0,2245.0,41344.0,2034.0,24891.0,1818.0,7406.0,822.0,9047.0,1140.0,,,6.0,9.0,Adams,St. Clair,55_001,17_163,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,167,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Sangamon County,191988.0,1493.0,159595.0,1449.0,32393.0,1754.0,21970.0,1382.0,5821.0,793.0,4602.0,795.0,,,5.0,7.0,Adams,Sangamon,55_001,17_167,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,197,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Will County,651928.0,3289.0,578499.0,3536.0,73429.0,3064.0,38073.0,2447.0,24224.0,1567.0,11132.0,1268.0,,,13.0,20.0,Adams,Will,55_001,17_197,inflow_05_09_Wisconsin.csv,2005,2009
55,001,17,201,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Illinois,Winnebago County,292267.0,1810.0,250610.0,2032.0,41657.0,2363.0,28788.0,1684.0,5659.0,754.0,7210.0,994.0,,,2.0,4.0,Adams,Winnebago,55_001,17_201,inflow_05_09_Wisconsin.csv,2005,2009
55,001,18,091,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Indiana,LaPorte County,107497.0,1027.0,92341.0,1197.0,15156.0,1242.0,9912.0,1007.0,3038.0,411.0,2206.0,506.0,,,3.0,5.0,Adams,LaPorte,55_001,18_091,inflow_05_09_Wisconsin.csv,2005,2009
55,001,20,103,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Kansas,Leavenworth County,68174.0,1261.0,54964.0,1121.0,13210.0,1138.0,6140.0,825.0,2772.0,470.0,4298.0,676.0,,,14.0,23.0,Adams,Leavenworth,55_001,20_103,inflow_05_09_Wisconsin.csv,2005,2009
55,001,20,121,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Kansas,Miami County,30342.0,687.0,25781.0,741.0,4561.0,748.0,2103.0,525.0,1674.0,496.0,784.0,308.0,,,2.0,4.0,Adams,Miami,55_001,20_121,inflow_05_09_Wisconsin.csv,2005,2009
55,001,21,101,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Kentucky,Henderson County,45064.0,713.0,36840.0,908.0,8224.0,1170.0,5599.0,941.0,1322.0,368.0,1303.0,349.0,,,4.0,7.0,Adams,Henderson,55_001,21_101,inflow_05_09_Wisconsin.csv,2005,2009
55,001,21,115,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Kentucky,Johnson County,23635.0,516.0,20409.0,686.0,3226.0,622.0,2155.0,510.0,822.0,305.0,249.0,138.0,,,14.0,23.0,Adams,Johnson,55_001,21_115,inflow_05_09_Wisconsin.csv,2005,2009
55,001,27,003,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Minnesota,Anoka County,321815.0,2403.0,281608.0,1917.0,40207.0,2312.0,19053.0,1483.0,16042.0,1268.0,5112.0,809.0,,,4.0,5.0,Adams,Anoka,55_001,27_003,inflow_05_09_Wisconsin.csv,2005,2009
55,001,27,037,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Minnesota,Dakota County,385917.0,2187.0,334563.0,2623.0,51338.0,2727.0,24404.0,1996.0,18162.0,1363.0,8772.0,971.0,16.0,25.0,13.0,22.0,Adams,Dakota,55_001,27_037,inflow_05_09_Wisconsin.csv,2005,2009
55,001,27,131,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Minnesota,Rice County,59419.0,1021.0,49918.0,1040.0,9501.0,995.0,4646.0,737.0,3179.0,529.0,1676.0,386.0,,,10.0,15.0,Adams,Rice,55_001,27_131,inflow_05_09_Wisconsin.csv,2005,2009
55,001,27,141,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Minnesota,Sherburne County,83273.0,899.0,73831.0,1021.0,9442.0,1160.0,3666.0,778.0,4509.0,608.0,1267.0,360.0,,,14.0,22.0,Adams,Sherburne,55_001,27_141,inflow_05_09_Wisconsin.csv,2005,2009
55,001,29,183,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Missouri,St. Charles County,334165.0,2168.0,295145.0,2176.0,39020.0,2352.0,21323.0,1797.0,10595.0,1103.0,7102.0,1117.0,,,1.0,2.0,Adams,St. Charles,55_001,29_183,inflow_05_09_Wisconsin.csv,2005,2009
55,001,31,153,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Nebraska,Sarpy County,140809.0,1659.0,119822.0,1236.0,20987.0,1489.0,9234.0,809.0,6229.0,831.0,5524.0,819.0,,,7.0,10.0,Adams,Sarpy,55_001,31_153,inflow_05_09_Wisconsin.csv,2005,2009
55,001,34,011,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,New Jersey,Cumberland County,152551.0,1387.0,133874.0,1745.0,18237.0,1707.0,11220.0,1328.0,3982.0,683.0,3035.0,631.0,440.0,258.0,3.0,4.0,Adams,Cumberland,55_001,34_011,inflow_05_09_Wisconsin.csv,2005,2009
55,001,35,025,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,New Mexico,Lea County,55933.0,1070.0,46401.0,1287.0,9532.0,1220.0,6239.0,1078.0,1290.0,367.0,2003.0,438.0,,,11.0,15.0,Adams,Lea,55_001,35_025,inflow_05_09_Wisconsin.csv,2005,2009
55,001,38,017,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,North Dakota,Cass County,132291.0,1311.0,102741.0,1455.0,29550.0,1642.0,19882.0,1393.0,2584.0,526.0,7084.0,701.0,,,14.0,23.0,Adams,Cass,55_001,38_017,inflow_05_09_Wisconsin.csv,2005,2009
55,001,40,017,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Oklahoma,Canadian County,98595.0,1464.0,83579.0,1566.0,15016.0,1210.0,8202.0,932.0,5000.0,622.0,1814.0,385.0,,,1.0,2.0,Adams,Canadian,55_001,40_017,inflow_05_09_Wisconsin.csv,2005,2009
55,001,47,031,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Tennessee,Coffee County,51125.0,964.0,43228.0,949.0,7897.0,1117.0,4530.0,856.0,2620.0,646.0,747.0,253.0,,,5.0,8.0,Adams,Coffee,55_001,47_031,inflow_05_09_Wisconsin.csv,2005,2009
55,001,48,157,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Texas,Fort Bend County,486913.0,3895.0,432190.0,3677.0,54723.0,3493.0,26533.0,2299.0,21770.0,1940.0,6420.0,1002.0,,,2.0,4.0,Adams,Fort Bend,55_001,48_157,inflow_05_09_Wisconsin.csv,2005,2009
55,001,48,339,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Texas,Montgomery County,388152.0,3397.0,329910.0,3524.0,58242.0,2980.0,34454.0,2515.0,17188.0,1420.0,6600.0,929.0,,,8.0,10.0,Adams,Montgomery,55_001,48_339,inflow_05_09_Wisconsin.csv,2005,2009
55,001,51,053,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Virginia,Dinwiddie County,25641.0,678.0,22923.0,584.0,2718.0,652.0,1034.0,402.0,1133.0,299.0,551.0,450.0,,,21.0,32.0,Adams,Dinwiddie,55_001,51_053,inflow_05_09_Wisconsin.csv,2005,2009
55,001,51,149,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Virginia,Prince George County,34789.0,1496.0,29482.0,1400.0,5307.0,922.0,1101.0,311.0,2109.0,501.0,2097.0,677.0,,,14.0,22.0,Adams,Prince George,55_001,51_149,inflow_05_09_Wisconsin.csv,2005,2009
55,001,53,049,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Washington,Pacific County,21501.0,548.0,18146.0,420.0,3355.0,534.0,1549.0,292.0,1185.0,298.0,621.0,300.0,,,6.0,10.0,Adams,Pacific,55_001,53_049,inflow_05_09_Wisconsin.csv,2005,2009
55,001,53,053,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Washington,Pierce County,746805.0,3938.0,601788.0,4619.0,144954.0,4410.0,97515.0,3589.0,22958.0,1752.0,24481.0,2021.0,63.0,101.0,11.0,12.0,Adams,Pierce,55_001,53_053,inflow_05_09_Wisconsin.csv,2005,2009
55,001,53,063,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Washington,Spokane County,442680.0,2671.0,359827.0,2762.0,82853.0,2981.0,58902.0,2478.0,10345.0,1257.0,13606.0,1398.0,,,2.0,5.0,Adams,Spokane,55_001,53_063,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,019,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Clark County,33346.0,436.0,30040.0,354.0,3306.0,384.0,1461.0,201.0,1559.0,309.0,286.0,115.0,,,2.0,3.0,Adams,Clark,55_001,55_019,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,021,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Columbia County,54467.0,651.0,46571.0,762.0,7896.0,920.0,3944.0,681.0,3204.0,490.0,748.0,295.0,,,36.0,27.0,Adams,Columbia,55_001,55_021,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,025,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Dane County,465766.0,2710.0,367660.0,2898.0,98106.0,2949.0,69643.0,2462.0,13185.0,994.0,15278.0,1485.0,,,28.0,20.0,Adams,Dane,55_001,55_025,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,027,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Dodge County,84151.0,1042.0,71998.0,1189.0,12153.0,1021.0,6504.0,845.0,4665.0,652.0,984.0,253.0,,,4.0,7.0,Adams,Dodge,55_001,55_027,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,031,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Douglas County,42496.0,763.0,36706.0,928.0,5790.0,880.0,3644.0,739.0,696.0,218.0,1450.0,428.0,,,21.0,30.0,Adams,Douglas,55_001,55_031,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,039,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Fond du Lac County,97538.0,787.0,84123.0,871.0,13415.0,960.0,8705.0,856.0,3642.0,488.0,1068.0,292.0,,,10.0,10.0,Adams,Fond du Lac,55_001,55_039,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,043,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Grant County,46845.0,709.0,40052.0,697.0,6793.0,598.0,4154.0,543.0,1898.0,281.0,741.0,295.0,,,2.0,3.0,Adams,Grant,55_001,55_043,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,055,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Jefferson County,78339.0,847.0,68031.0,896.0,10308.0,934.0,5589.0,722.0,3787.0,557.0,932.0,273.0,,,2.0,3.0,Adams,Jefferson,55_001,55_055,inflow_05_09_Wisconsin.csv,2005,2009
55,001,55,057,Wisconsin,Adams County,20219.0,55.0,17587.0,302.0,2572.0,294.0,1179.0,231.0,858.0,190.0,535.0,135.0,60.0,52.0,Wisconsin,Juneau County,26187.0,453.0,22465.0,447.0,3722.0,464.0,2016.0,352.0,1453.0,304.0,253.0,114.0,,,11.0,9.0,Adams,Juneau,55_001,55_057,inflow_05_09_Wisconsin.csv,2005,2009
